,CNV,CNV,CNV,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2
,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC087645.3,,,,-0.16135884598171607,0.20571804505411417,2.0,-0.08907140665167648,0.2776842090615623,2.0,-0.061313665292894934,0.1988011806149523,2.0,0.04278997578135899,0.23169351243471054,2.0,-0.5704645687273673,0.0717938885327997,2.0,-0.30738356061631567,0.06514254401582674,2.0,-0.8641364786676531,0.5822416695049842,2.0,-1.2454310211582929,0.12966550213930372,2.0
AC091060.1,,,,-0.2917127602175697,0.1554734393553278,3.0,-0.5558147857197748,0.24164886113006714,3.0,-0.0910397538690224,0.5946625291893601,3.0,-0.8347026554703425,0.3631835549195874,3.0,-0.604087846285972,0.23213246656958594,3.0,-0.5776427417949348,0.10306945305111521,3.0,-1.7344461657518075,0.4126227696485545,3.0,-1.7448196344527849,0.44973734307084967,3.0
AC092031.1,,,,0.16696764762855096,0.2588863677460891,3.0,0.23669602299171608,0.21999799975908363,3.0,0.3939061946633513,0.30858211630552096,3.0,0.15770214901610932,0.376710954357702,3.0,-0.08335199656301812,0.24460835034586184,3.0,0.3741857702621929,0.27201607725962523,3.0,-1.166710767390757,0.35826074708876754,3.0,-1.0860546141844212,0.4745834570837501,3.0
AC100788.1,,,,0.15860137684209916,0.1762239419655233,3.0,0.4214157385553604,0.33163074154929184,3.0,0.33514694923048094,0.38437118138929915,3.0,0.22031997084013757,0.2944097672121957,3.0,0.2702320870446914,0.21324902417176642,3.0,0.24302341956335777,0.21994853169508063,3.0,-0.5725795013730561,0.3147789539002783,3.0,-0.4020769836421962,0.18397838754955162,3.0
AC112502.1,,,,0.12736159624188534,0.5481681555755794,3.0,0.09857912561512644,0.6003798311681606,3.0,-0.0946177964608819,0.3305444915839504,3.0,-0.07352003099826197,0.4656406290355024,3.0,-0.035391640421149104,0.5211023971826566,3.0,-0.014760899918535771,0.5195341856719413,3.0,-1.111949080049971,0.3009911123673585,3.0,-0.8029188328852677,0.2988902069633754,3.0
AC114947.1,,,,0.044505575176399886,0.4093646560652626,4.0,0.04694058019396637,0.37731355528421684,4.0,-0.2294340487721995,0.289365975010157,4.0,-0.3066501538518622,1.0615405877973902,4.0,0.07817569314553416,0.39263088956932624,4.0,-0.06934027926002093,0.3716808701239642,4.0,-0.6899322194177628,1.1978208793467995,4.0,-0.5660640446591803,1.1886198945880828,4.0
AC118274.1,,,,0.03208638048293763,0.24116608071197704,4.0,0.08889860687524247,0.23058115078608746,4.0,-0.13036081938411653,0.08450613359157025,4.0,0.006922134059896071,0.43010190262321973,4.0,-0.005592589987923899,0.19221240097283576,4.0,-0.07492842478032462,0.24063082252553913,4.0,-0.7132753104363199,0.41362067040022443,4.0,-0.8844832910075442,0.7735473036431624,4.0
ACOT1,,,,0.3443635148506015,0.4399489882058946,3.0,0.49813057703362407,0.23254752372944643,3.0,0.48182399761701444,0.5264324258551496,3.0,0.5858334397164906,0.24294077391628613,3.0,0.4068465774398428,0.5971606734164479,3.0,0.44986757213051143,0.5869705013843833,3.0,-0.5320880619561147,0.628927492549115,3.0,-0.438125563321327,0.378354271758891,3.0
ACTB,,,,0.08131155644403952,0.2170064144052479,3.0,-0.07125837550844136,0.21138964216713732,3.0,-0.5147478977904071,0.3657591474811935,3.0,-0.2866999512316307,0.2675651276867618,3.0,0.07150442735408527,0.2159800454520315,3.0,0.18648845089448796,0.42406954402301805,3.0,-0.565276243656327,0.5798971404810541,3.0,-0.15634667994543244,0.57728840839558,3.0
ACTG1,,,,-0.6411762434002368,0.3118044169795636,4.0,-0.19520406798212264,0.5909975590803823,4.0,-0.38358081356185114,0.3463512481648306,4.0,-0.38998234545066,0.5478425949027,4.0,-0.4337342468602441,0.5078995599380696,4.0,-0.412750338075192,0.4950534501664121,4.0,-1.4630237901419605,0.7097282482351774,4.0,-1.5100764527214645,0.7768866021044972,4.0
